Order,PID,MS SubClass,MS Zoning,Lot Frontage, ,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Year,Rooms,,
339,526321122,52,RL,"68,00",2,12544,Pave,,IR1,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1,5Fin,5,5,1969,1969,Gable,CompShg,HdBoard,HdBoard,None,2,TA,TA,CBlock,TA,TA,Av,BLQ,476,Unf,2,388,864,GasA,TA,Y,SBrkr,864,615,2,1479,2,2,2,2,5,1,TA,8,Typ,2,,Attchd,1969,Fin,1,275,TA,TA,Y,287,2,282,2,2,2,,,,2,4,2212,WD ,Normal,161222,1999 or older,7 rooms or more
342,526321122,22,RL,"76,00",2,9892,Pave,,Reg,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,8,5,1994,1995,Hip,CompShg,VinylSd,VinylSd,None,2,Gd,Gd,PConc,Gd,Gd,Gd,GLQ,1341,LwQ,284,54,1679,GasA,Ex,Y,SBrkr,1823,2,2,1823,1,1,2,1,3,1,Gd,6,Typ,2,TA,Attchd,1994,Unf,2,482,TA,TA,Y,129,64,222,2,2,2,,GdWo,,2,2,2212,WD ,Normal,285222,1999 or older,6 rooms or less,
341,526321122,62,RL,"74,00",2,12961,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,VinylSd,VinylSd,None,2,Gd,Gd,PConc,Gd,TA,Mn,GLQ,944,Unf,2,228,1152,GasA,Ex,Y,SBrkr,1152,645,2,1797,1,2,2,1,3,1,Gd,7,Typ,1,Fa,Attchd,1993,Fin,2,616,TA,TA,Y,162,312,2,2,2,2,,,,2,3,2212,WD ,Normal,231222,1999 or older,7 rooms or more,
342,526321122,22,RL,"74,00",2,13228,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1956,1956,Gable,CompShg,MetalSd,MetalSd,None,2,TA,TA,CBlock,Fa,Fa,No,Rec,564,Unf,2,318,882,GasA,TA,Y,SBrkr,882,2,2,882,2,2,1,2,2,1,TA,5,Typ,2,,Attchd,1956,Unf,1,522,TA,TA,Y,2,2,2,2,2,2,,,,2,12,2229,WD ,Normal,124522,1999 or older,6 rooms or less,
343,526321122,22,RL,"85,00",2,12222,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1974,1974,Hip,CompShg,Plywood,Plywood,BrkFace,442,TA,TA,CBlock,TA,TA,No,LwQ,844,Unf,2,592,1434,GasA,TA,Y,SBrkr,1434,2,2,1434,1,2,2,2,4,1,TA,7,Typ,1,Gd,Attchd,1974,RFn,2,528,TA,TA,Y,82,21,2,2,2,2,,,,2,6,2229,WD ,Normal,157222,1999 or older,7 rooms or more,
344,526321122,82,RL,"75,00",2,13862,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,8,7,1972,1995,Gable,CompShg,Plywood,Wd Sdng,None,2,Gd,TA,CBlock,Gd,TA,Gd,GLQ,1412,Unf,2,542,1952,GasA,Gd,Y,SBrkr,2222,724,2,2724,1,2,2,1,4,1,Ex,9,Typ,3,TA,Attchd,1972,Fin,2,538,TA,TA,Y,269,111,2,2,2,2,,MnPrv,,2,7,2229,WD ,Normal,345222,1999 or older,7 rooms or more,
345,526321122,62,RL,"88,00",2,12179,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,2,TA,TA,PConc,Gd,TA,No,ALQ,847,Unf,2,98,945,GasA,Ex,Y,SBrkr,945,663,2,1628,2,2,2,1,3,1,TA,7,Typ,1,TA,Attchd,1997,Fin,2,472,TA,TA,Y,252,32,2,2,2,2,,,,2,7,2229,WD ,Normal,189522,1999 or older,7 rooms or more,
346,526321122,62,RL,,11792,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,8,5,2223,2223,Gable,CompShg,VinylSd,VinylSd,BrkFace,188,Gd,TA,PConc,Gd,TA,Gd,GLQ,852,Unf,2,158,1228,GasA,Ex,Y,SBrkr,1228,1275,2,2283,2,2,2,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2223,Fin,3,632,TA,TA,Y,122,46,2,2,2,2,,,,2,8,2229,WD ,Normal,272222,2222 or newer,7 rooms or more,,
347,526321122,82,RL,"62,00",2,8422,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1996,1997,Gable,CompShg,HdBoard,HdBoard,BrkFace,32,TA,TA,PConc,Gd,TA,No,GLQ,284,Unf,2,122,384,GasA,Gd,Y,SBrkr,958,672,2,1628,2,2,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1996,Fin,2,392,TA,TA,Y,48,72,2,2,2,2,,,Shed,492,6,2229,WD ,Normal,189222,1999 or older,7 rooms or more,
348,526321122,22,RL,"42,00",2,14892,Pave,,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,1Story,9,5,2226,2227,Gable,CompShg,VinylSd,VinylSd,Stone,162,Ex,TA,PConc,Ex,TA,Gd,GLQ,1322,Unf,2,426,1746,GasA,Ex,Y,SBrkr,1746,2,2,1746,1,2,2,2,3,1,Ex,7,Typ,2,Gd,Attchd,2226,Fin,3,758,TA,TA,Y,221,39,2,2,2,2,,,,2,12,2229,WD ,Normal,377522,2222 or newer,7 rooms or more,
349,526321122,82,RL,,8532,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1995,1996,Gable,CompShg,HdBoard,HdBoard,BrkFace,22,TA,TA,PConc,Gd,TA,No,Unf,2,Unf,2,384,384,GasA,Gd,Y,SBrkr,824,672,2,1474,2,2,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1995,Fin,2,422,TA,TA,Y,122,72,2,2,2,2,,,Shed,722,5,2229,WD ,Normal,168522,1999 or older,7 rooms or more,,
352,526321122,122,RL,"28,00",2,7296,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2224,2225,Gable,CompShg,CemntBd,CmentBd,None,2,Gd,TA,PConc,Ex,TA,Av,GLQ,1965,Unf,2,243,2228,GasA,Ex,Y,SBrkr,2522,2,2,2522,1,2,2,2,1,1,Gd,8,Typ,1,Gd,Attchd,2224,Fin,2,564,TA,TA,Y,182,57,2,2,2,2,,,,2,11,2229,WD ,Normal,375222,2222 or newer,7 rooms or more,
351,526321122,122,RL,"42,00",2,5664,Pave,,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2222,2222,Gable,CompShg,CemntBd,CmentBd,None,2,Gd,TA,PConc,Gd,TA,No,GLQ,1158,Unf,2,343,1521,GasA,Ex,Y,SBrkr,1659,2,2,1659,1,2,2,2,2,1,Ex,5,Typ,1,Ex,Attchd,2222,Fin,2,499,TA,TA,Y,212,59,2,2,2,2,,,,2,12,2229,WD ,Normal,278222,2222 or newer,6 rooms or less,
352,526321122,122,RL,"61,00",2,7382,Pave,,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,8,5,1998,1998,Gable,CompShg,CemntBd,CmentBd,None,2,TA,TA,PConc,Gd,TA,Av,GLQ,341,Unf,2,1277,1418,GasA,Ex,Y,SBrkr,1478,2,2,1478,1,2,2,2,2,1,TA,5,Typ,2,,Attchd,1998,Fin,2,495,TA,TA,Y,168,43,2,2,2,2,,,,2,7,2229,WD ,Normal,242222,1999 or older,6 rooms or less,
353,526321122,122,RL,"57,00",2,8213,Pave,,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,None,2,Gd,TA,PConc,Gd,TA,No,GLQ,741,Unf,2,846,1587,GasA,Ex,Y,SBrkr,1734,2,2,1734,1,2,2,2,2,1,Gd,6,Typ,2,,Attchd,1995,RFn,2,528,TA,TA,Y,52,52,2,2,2,2,,,,2,9,2229,WD ,Normal,239522,1999 or older,6 rooms or less,
354,526321122,82,RL,"57,00",2,8923,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,2,Gd,TA,PConc,Gd,TA,No,GLQ,189,Unf,2,195,384,GasA,Gd,Y,SBrkr,751,631,2,1382,2,2,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1998,Fin,2,396,TA,TA,Y,256,2,2,2,2,2,,,,2,2,2229,WD ,Normal,177522,1999 or older,7 rooms or more,
355,526321122,62,RL,"74,00",2,12141,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,42,TA,TA,PConc,Gd,TA,No,Unf,2,Unf,2,832,832,GasA,Gd,Y,SBrkr,885,833,2,1718,2,2,2,1,3,1,TA,7,Typ,1,TA,Attchd,1998,Fin,2,427,TA,TA,Y,2,94,2,2,291,2,,,,2,12,2229,WD ,Normal,185222,1999 or older,7 rooms or more,
356,526321122,62,RL,"62,00",2,7522,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,2,Gd,TA,PConc,Gd,TA,No,GLQ,476,Unf,2,476,952,GasA,Gd,Y,SBrkr,952,684,2,1636,1,2,2,1,3,1,TA,7,Typ,1,TA,Attchd,1998,Fin,2,442,TA,TA,Y,2,84,2,2,2,2,,,,2,12,2229,WD ,Normal,191222,1999 or older,7 rooms or more,
357,526321122,62,RL,"59,00",2,7837,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,7,1993,1994,Gable,CompShg,VinylSd,VinylSd,None,2,Gd,TA,PConc,Gd,TA,No,Unf,2,Unf,2,799,799,GasA,Gd,Y,SBrkr,799,772,2,1571,2,2,2,1,3,1,TA,7,Typ,1,TA,Attchd,1993,RFn,2,382,TA,TA,Y,2,42,2,2,2,2,,,,2,5,2229,WD ,Normal,178222,1999 or older,7 rooms or more,
358,526321122,62,RL,,9765,Pave,,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,8,1993,1993,Gable,CompShg,VinylSd,VinylSd,BrkFace,68,Ex,Gd,PConc,Gd,Gd,No,ALQ,312,Unf,2,372,682,GasA,Gd,Y,SBrkr,682,792,2,1472,2,2,2,1,3,1,TA,6,Typ,1,TA,BuiltIn,1993,Fin,2,422,TA,TA,Y,232,63,2,2,2,2,,,Shed,482,4,2229,WD ,Normal,185222,1999 or older,6 rooms or less,,
359,526321122,62,RL,,8823,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1994,1995,Gable,CompShg,HdBoard,HdBoard,None,2,TA,TA,PConc,Gd,TA,No,GLQ,622,Unf,2,127,727,GasA,Gd,Y,SBrkr,727,829,2,1516,1,2,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1994,Fin,2,429,TA,TA,Y,2,46,2,2,2,2,,,,2,7,2229,WD ,Normal,181316,1999 or older,7 rooms or more,,
362,526321122,22,RL,"58,00",2,7252,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,1993,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,45,TA,TA,PConc,Gd,TA,No,Unf,2,Unf,2,1181,1181,GasA,Ex,Y,SBrkr,1192,2,2,1192,2,2,2,2,3,1,Gd,6,Typ,1,TA,Attchd,1993,Unf,2,432,TA,TA,Y,2,21,2,2,2,2,,,,2,11,2229,WD ,Normal,166222,1999 or older,6 rooms or less,
361,526321122,62,RL,,9636,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1992,1993,Gable,CompShg,VinylSd,VinylSd,None,2,TA,TA,PConc,Gd,TA,No,Unf,2,Unf,2,828,828,GasA,Gd,Y,SBrkr,828,785,2,1593,2,2,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1993,RFn,2,389,TA,TA,Y,342,42,2,2,2,2,,MnPrv,,2,12,2229,WD ,Normal,178222,1999 or older,7 rooms or more,,
362,526321122,62,RL,"65,00",2,8125,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1994,1995,Gable,CompShg,HdBoard,HdBoard,None,2,TA,TA,PConc,Gd,TA,No,Unf,2,Unf,2,722,722,GasA,Gd,Y,SBrkr,722,779,2,1481,2,2,2,1,3,1,TA,6,Typ,1,TA,Attchd,1994,Fin,2,343,TA,TA,Y,2,36,2,2,2,2,,,,2,3,2229,WD ,Normal,174222,1999 or older,6 rooms or less,
363,526321122,22,RL,,9248,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,6,1992,1992,Gable,CompShg,HdBoard,HdBoard,BrkFace,126,TA,TA,PConc,Gd,TA,No,GLQ,562,Unf,2,598,1158,GasA,Gd,Y,SBrkr,1167,2,2,1167,1,2,2,2,3,1,Gd,6,Typ,2,,Attchd,1992,RFn,2,422,TA,TA,Y,122,26,2,2,2,2,,,,2,7,2229,WD ,Normal,173222,1999 or older,6 rooms or less,,
364,526321122,62,RL,,12762,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,344,Gd,TA,PConc,Gd,TA,No,GLQ,694,Unf,2,284,978,GasA,Ex,Y,SBrkr,1225,978,2,1983,2,2,2,1,3,1,Gd,9,Typ,1,TA,Attchd,1999,Fin,2,492,TA,TA,Y,2,2,2,2,2,2,,,,2,5,2229,WD ,Normal,225222,1999 or older,7 rooms or more,,
365,526321122,22,RL,"99,00",2,11851,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,2,TA,TA,PConc,Gd,TA,No,Unf,2,Unf,2,1424,1424,GasA,Ex,Y,SBrkr,1442,2,2,1442,2,2,2,2,3,1,TA,5,Typ,2,,Attchd,1992,RFn,2,522,TA,TA,Y,2,34,2,528,2,2,,,,2,5,2229,WD ,Normal,182522,1999 or older,6 rooms or less,
366,526321122,122,RL,,5814,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,None,2,Gd,TA,CBlock,Gd,TA,Av,GLQ,1236,Unf,2,184,1222,GasA,Gd,Y,SBrkr,1362,2,2,1362,1,2,1,2,1,1,Gd,4,Typ,1,Ex,Attchd,1984,RFn,2,565,TA,TA,Y,63,2,2,2,2,2,,,,2,8,2229,COD,Abnorml,187522,1999 or older,6 rooms or less,,
367,526321122,22,RL,"63,00",2,17423,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,5,2228,2229,Hip,CompShg,VinylSd,VinylSd,Stone,748,Ex,TA,PConc,Ex,TA,No,GLQ,1924,Unf,2,312,2216,GasA,Ex,Y,SBrkr,2234,2,2,2234,1,2,2,2,1,1,Ex,9,Typ,1,Gd,Attchd,2229,Fin,3,1166,TA,TA,Y,2,62,2,2,2,2,,,,2,7,2229,New,Partial,521837,2222 or newer,7 rooms or more,
368,526321122,22,RL,"82,00",2,11844,Pave,,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,1Fam,1Story,8,5,2228,2228,Hip,CompShg,VinylSd,VinylSd,Stone,464,Gd,TA,PConc,Ex,TA,Mn,Unf,2,Unf,2,2246,2246,GasA,Ex,Y,SBrkr,2246,2,2,2246,2,2,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,2228,Fin,3,834,TA,TA,Y,322,82,2,2,2,2,,,,2,7,2229,New,Partial,372522,2222 or newer,7 rooms or more,
369,526321122,22,RL,"124,00",2,16158,Pave,,IR1,Low,AllPub,Inside,Mod,StoneBr,Norm,Norm,1Fam,1Story,7,5,2225,2225,Hip,CompShg,VinylSd,VinylSd,Stone,16,Gd,TA,PConc,Ex,TA,Av,ALQ,1274,Unf,2,256,1532,GasA,Ex,Y,SBrkr,1532,2,2,1532,1,2,2,2,3,1,Gd,7,Typ,1,Gd,Attchd,2225,Fin,2,432,TA,TA,Y,168,36,2,2,2,2,,,,2,6,2229,WD ,Normal,262222,2222 or newer,7 rooms or more,
372,526321122,62,RL,"85,00",2,11922,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,6,1977,1977,Gable,CompShg,HdBoard,Wd Sdng,BrkFace,157,TA,TA,PConc,Gd,TA,No,ALQ,422,Unf,2,722,1122,GasA,Ex,Y,SBrkr,946,988,2,1934,1,2,2,1,3,1,TA,6,Typ,1,TA,Attchd,1977,Unf,2,567,TA,TA,P,2,176,2,2,222,2,,,,2,7,2229,WD ,Normal,185222,1999 or older,6 rooms or less,
371,526321122,62,RL,"94,00",2,13225,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,7,1982,1982,Gable,CompShg,CemntBd,CmentBd,BrkFace,278,Gd,TA,CBlock,Gd,TA,No,GLQ,692,Unf,2,153,845,GasA,TA,Y,SBrkr,1153,1222,2,2353,1,2,2,1,4,1,Ex,12,Typ,1,TA,Attchd,1983,RFn,2,484,TA,TA,Y,288,195,2,2,2,2,,GdPrv,,2,8,2229,WD ,Normal,262222,1999 or older,7 rooms or more,
372,526321122,22,RL,"48,00",2,17243,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,5,1979,1998,Gable,CompShg,HdBoard,HdBoard,None,2,TA,Gd,CBlock,Gd,Fa,No,Unf,2,Unf,2,1362,1362,GasA,TA,Y,SBrkr,1586,2,2,1586,2,2,2,2,3,1,TA,7,Typ,1,TA,Attchd,1979,Unf,2,435,TA,TA,Y,192,2,2,2,2,2,,,,2,1,2229,WD ,Normal,181222,1999 or older,7 rooms or more,
373,526321122,22,RL,"85,00",2,11922,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,229,TA,Gd,CBlock,TA,TA,No,ALQ,822,Unf,2,564,1386,GasA,TA,Y,SBrkr,1411,2,2,1411,2,2,2,2,3,1,TA,6,Typ,1,TA,Attchd,1977,Fin,2,544,TA,TA,Y,192,2,2,2,2,2,,,,2,4,2229,WD ,Family,82522,1999 or older,6 rooms or less,
374,526321122,22,RL,,16635,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2222,Gable,CompShg,CemntBd,CmentBd,Stone,126,Gd,TA,CBlock,Gd,TA,No,ALQ,1246,Unf,2,356,1622,GasA,Gd,Y,SBrkr,1622,2,2,1622,2,1,2,2,3,1,Gd,8,Typ,1,TA,Attchd,1977,Fin,2,529,TA,TA,Y,242,2,2,2,2,2,,,,2,6,2229,WD ,Normal,215222,1999 or older,7 rooms or more,,
375,526321122,62,RL,,13252,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRNn,Norm,1Fam,2Story,7,6,1978,1978,Gable,CompShg,HdBoard,HdBoard,BrkFace,256,TA,TA,CBlock,Gd,TA,No,Unf,2,Unf,2,832,832,GasA,TA,Y,SBrkr,1154,896,2,2252,2,2,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1978,RFn,2,529,TA,TA,Y,192,192,2,2,2,2,,,,2,5,2229,WD ,Abnorml,154222,1999 or older,7 rooms or more,,
376,526321122,22,RL,"82,00",2,12928,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1986,Gable,CompShg,VinylSd,VinylSd,BrkFace,121,TA,TA,PConc,TA,TA,No,LwQ,363,Unf,2,1264,1427,GasA,TA,Y,SBrkr,1671,2,2,1671,2,2,2,2,3,1,TA,7,Typ,1,TA,Attchd,1978,RFn,2,484,TA,TA,Y,252,55,2,2,2,2,,,,2,8,2229,WD ,Normal,222222,1999 or older,7 rooms or more,
377,526321122,62,RL,,12388,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,7,1982,1991,Gable,CompShg,Plywood,Plywood,BrkFace,229,TA,TA,CBlock,Gd,TA,No,ALQ,622,Unf,2,441,1243,GasA,TA,Y,SBrkr,1539,1134,2,2673,2,2,2,1,4,1,Gd,9,Typ,1,TA,BuiltIn,1982,RFn,2,441,TA,TA,Y,178,84,2,2,2,2,,,,2,8,2229,WD ,Normal,249222,1999 or older,7 rooms or more,,
378,526321122,82,RL,,14115,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,7,5,1982,1982,Gable,CompShg,Plywood,Plywood,BrkFace,225,TA,TA,CBlock,Gd,TA,Av,GLQ,1236,Unf,2,336,1372,GasA,TA,Y,SBrkr,1472,2,2,1472,1,2,2,2,3,1,TA,6,Typ,2,TA,Attchd,1982,Unf,2,588,TA,TA,Y,233,48,2,2,2,2,,,,2,6,2229,WD ,Normal,187522,1999 or older,6 rooms or less,,
379,526321122,22,RL,"82,00",2,11288,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,5,1978,1998,Gable,CompShg,HdBoard,HdBoard,BrkFace,144,TA,TA,PConc,TA,TA,No,ALQ,832,Unf,2,328,1142,GasA,Gd,Y,SBrkr,1727,2,2,1727,2,2,2,2,3,1,TA,7,Typ,1,TA,Attchd,1978,Fin,2,479,TA,TA,Y,2,2,2,2,2,2,,,,2,5,2229,WD ,Normal,184222,1999 or older,7 rooms or more,
382,526321122,22,RL,"82,00",2,9622,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,2,Gd,TA,PConc,Gd,TA,No,ALQ,1124,Unf,2,1422,2524,GasA,TA,Y,SBrkr,2524,2,2,2524,1,2,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,1981,Fin,2,542,TA,TA,Y,474,122,2,2,2,2,,MnPrv,,2,7,2229,WD ,Normal,278222,1999 or older,7 rooms or more,
381,526321122,22,RL,"82,00",2,11882,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,1Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,226,TA,TA,CBlock,Gd,TA,No,ALQ,724,Unf,2,567,1271,GasA,TA,Y,SBrkr,1621,2,2,1621,2,2,2,2,3,1,TA,7,Typ,1,TA,Attchd,1978,RFn,2,478,TA,TA,Y,2,2,2,2,2,2,,,,2,4,2229,COD,Abnorml,157222,1999 or older,7 rooms or more,
382,526321122,22,RL,"82,00",2,12422,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,1976,1976,Gable,CompShg,HdBoard,HdBoard,BrkFace,189,TA,TA,CBlock,Gd,TA,No,Unf,2,Unf,2,1292,1292,GasA,TA,Y,SBrkr,1372,2,2,1372,2,2,2,2,3,1,TA,6,Typ,1,TA,Attchd,1976,RFn,2,479,TA,TA,Y,2,2,2,2,2,2,,MnPrv,,2,6,2229,WD ,Family,152222,1999 or older,6 rooms or less,
383,526321122,62,RL,,12324,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,PosN,Norm,1Fam,2Story,5,7,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,44,TA,Gd,CBlock,TA,TA,No,ALQ,381,Unf,2,399,782,GasA,Ex,Y,SBrkr,1288,782,2,1868,1,2,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1976,Unf,2,484,TA,TA,Y,448,96,2,2,2,2,,,,2,12,2229,WD ,Normal,197522,1999 or older,7 rooms or more,,
384,526321122,62,FV,"72,00",2,7222,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2223,2223,Gable,CompShg,CemntBd,CmentBd,None,2,Gd,TA,PConc,Gd,TA,Mn,GLQ,622,Unf,2,324,926,GasA,Ex,Y,SBrkr,1216,868,2,1884,1,2,2,1,3,1,Ex,7,Typ,1,Ex,Attchd,2223,RFn,2,581,TA,TA,Y,2,35,2,2,2,2,,,,2,6,2229,WD ,Normal,242922,2222 or newer,7 rooms or more,
385,526321122,62,FV,"75,00",2,8224,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Somerst,RRAn,Norm,1Fam,2Story,8,5,2229,2229,Gable,CompShg,VinylSd,VinylSd,Stone,112,Gd,TA,PConc,Gd,TA,No,GLQ,544,Unf,2,288,832,GasA,Ex,Y,SBrkr,832,1123,2,1935,1,2,2,1,3,1,TA,8,Typ,2,,BuiltIn,2229,Fin,2,552,TA,TA,Y,2,152,2,2,2,2,,,,2,12,2229,New,Partial,263435,2222 or newer,7 rooms or more,
386,526321122,62,FV,,7522,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,RRNn,Norm,1Fam,2Story,8,5,2222,2221,Gable,CompShg,VinylSd,VinylSd,None,2,Gd,TA,PConc,Gd,TA,No,Unf,2,Unf,2,1258,1258,GasA,Ex,Y,SBrkr,1258,816,2,1874,2,2,2,1,3,1,Gd,7,Typ,1,TA,Attchd,2222,Fin,2,588,TA,TA,Y,2,134,2,2,2,2,,,,2,3,2229,WD ,Normal,222222,2222 or newer,7 rooms or more,,
387,526321122,62,FV,,8472,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2222,2222,Gable,CompShg,VinylSd,VinylSd,None,2,Gd,TA,PConc,Gd,TA,No,GLQ,225,ALQ,276,471,972,GasA,Ex,Y,SBrkr,972,839,2,1811,2,2,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,2222,RFn,2,565,TA,TA,Y,225,48,2,2,2,2,,,,2,12,2229,WD ,Normal,235222,2222 or newer,7 rooms or more,,
